"Tỉnh, thành phố",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-SLA,22.8,22.7,24.9,23.4,23.7,26.0,27.6,30.3,33.4,34.4,32.9,35.5,29.3,32.6,33.3,33.0,35.3,33.8,32.0,33.8,34.0,35.4,35.3,36.4,37.2,38.6,40.3,41.7
geoId-THA,33.9,28.2,38.5,38.3,42.0,42.6,46.2,48.7,49.6,52.1,49.1,55.0,52.7,55.2,56.3,55.1,55.5,57.8,55.9,58.6,57.4,58.8,58.4,57.8,58.8,59.4,60.9,60.7
geoId-TBH,55.5,57.5,54.5,56.4,61.6,60.7,57.4,63.0,54.6,63.4,58.6,65.0,61.5,65.7,66.2,66.4,65.9,65.1,65.1,65.6,66.0,65.8,59.4,65.5,65.9,65.9,65.1,65.5
geoId-TNN,30.3,32.3,33.7,34.4,38.0,38.7,41.3,44.1,44.5,45.0,46.0,46.6,46.2,48.3,48.5,48.7,51.7,50.6,50.3,50.5,52.7,53.4,53.4,54.7,54.9,54.9,55.9,56.1
geoId-TTH,34.4,37.8,39.2,37.7,42.4,38.3,39.7,40.6,45.6,48.1,46.5,50.2,51.6,54.0,53.2,53.1,55.9,55.6,53.1,59.1,58.7,59.5,59.6,61.1,59.6,59.0,63.5,50.5
geoId-TGG,44.2,43.8,45.7,46.9,45.5,46.1,46.6,48.5,48.6,50.7,51.7,49.0,52.9,53.9,53.1,54.1,55.1,56.8,57.2,59.4,59.8,58.8,59.3,62.3,60.9,58.9,63.4,62.2
geoId-HCM,29.8,25.5,30.6,30.7,29.0,31.0,31.2,31.5,32.9,34.1,33.1,28.8,34.4,36.5,36.8,37.6,39.0,41.5,42.2,42.4,43.5,43.7,45.2,46.8,48.3,50.1,50.4,52.1
geoId-NT,27.3,29.1,31.0,31.4,34.2,35.9,38.6,40.3,41.9,42.8,43.3,43.9,43.0,44.1,45.5,46.3,47.7,48.2,47.4,48.5,48.8,49.9,49.1,50.3,50.5,51.0,51.7,52.1
geoId-TVH,38.2,42.6,35.5,35.4,36.1,39.9,37.5,42.7,44.3,43.9,44.3,44.3,41.5,47.9,46.4,49.7,49.6,55.3,54.1,56.3,56.8,45.4,51.7,56.8,56.1,45.8,55.0,53.1
geoId-TQG,33.2,36.7,37.3,39.1,41.1,41.5,49.8,47.8,52.0,53.3,54.6,54.7,55.5,56.8,57.3,57.7,58.4,58.2,58.1,58.2,58.4,58.6,58.3,58.6,58.7,58.7,59.2,59.2
geoId-TNN,24.8,27.4,28.6,26.5,30.9,33.2,35.7,32.5,38.6,39.5,37.3,42.6,42.2,44.3,46.3,47.8,47.6,49.6,49.5,52.4,50.9,50.3,54.1,56.2,57.2,57.3,58.6,59.8
geoId-TNH,24.2,25.9,28.1,27.9,29.9,30.5,32.2,34.8,37.2,39.4,40.5,43.1,45.0,46.3,46.5,47.9,49.0,50.1,50.7,52.1,52.7,52.6,53.3,54.4,54.1,54.1,54.7,54.8
geoId-VLG,41.8,42.2,44.1,42.4,43.1,45.1,42.1,45.9,45.2,46.3,47.9,47.4,51.2,50.5,51.6,54.6,56.9,58.1,58.5,60.3,60.6,53.2,55.6,59.9,58.4,61.4,60.8,60.5
geoId-VPC,30.1,32.3,34.0,35.5,38.2,43.7,42.2,46.7,48.2,50.0,50.5,46.8,45.8,52.1,53.5,53.0,56.7,50.5,52.3,56.5,55.9,50.4,55.3,58.4,57.9,58.1,59.8,53.1
geoId-YBI,31.4,33.4,32.6,30.3,36.4,37.6,38.4,39.5,40.9,41.5,41.0,43.2,42.9,43.0,45.2,45.4,47.3,48.9,49.0,49.5,50.3,50.0,49.8,49.9,50.4,50.7,51.2,51.6
geoId-DBN,21.3,20.4,23.3,23.2,24.8,25.4,25.5,25.4,27.6,31.0,31.9,32.4,31.2,32.0,32.7,33.4,32.6,32.7,33.0,34.5,35.4,35.0,35.5,36.1,36.2,36.4,37.2,37.5
geoId-DNG,40.1,43.6,42.4,42.0,44.2,46.6,47.0,48.2,52.4,53.1,52.3,57.2,56.5,53.3,53.8,56.3,52.9,59.8,58.0,61.6,58.5,59.6,60.4,61.3,60.4,63.3,67.2,58.2
geoId-ST,26.6,26.6,28.6,28.8,28.9,30.3,31.7,33.1,35.1,36.2,38.0,38.0,41.3,42.8,43.8,44.8,46.4,47.5,48.0,49.4,50.4,50.6,51.4,52.5,53.2,53.5,54.5,55.1
geoId-DLK,27.8,32.1,34.9,29.3,37.3,40.3,41.5,35.8,44.5,47.5,41.2,53.4,46.1,48.7,55.0,56.3,56.1,56.1,56.9,61.2,59.5,58.6,63.4,66.2,67.0,66.6,67.7,68.6
geoId-DNG1,,,,,,,,,,38.9,38.9,43.1,43.6,45.3,51.9,55.7,52.8,55.8,54.1,58.3,58.0,58.4,57.4,59.6,60.2,61.0,62.8,64.0
geoId-MRD,40.2,40.1,39.8,40.7,40.9,42.3,42.2,46.2,46.3,48.7,50.4,48.3,50.7,53.6,53.0,54.7,56.8,58.1,57.6,59.4,59.5,56.1,56.4,59.7,59.7,60.1,62.4,61.9
geoId-RRD,42.1,44.9,46.5,49.0,52.4,53.6,52.8,55.8,54.4,57.2,53.9,57.4,56.1,58.9,58.8,59.2,60.9,60.4,58.9,60.2,60.6,59.8,56.8,60.5,60.6,61.4,62.0,61.7
geoId-DNI,32.3,32.0,32.7,32.0,30.1,33.0,34.5,35.4,37.7,36.7,40.9,39.5,43.0,44.4,46.2,46.5,48.9,50.1,50.2,51.7,53.0,53.7,54.2,54.4,56.2,57.4,58.4,59.4
geoId-DTP,44.8,44.0,47.0,45.7,46.9,46.0,48.1,51.1,50.8,53.4,55.7,53.0,56.9,58.1,58.8,60.4,61.9,62.6,61.4,62.4,62.0,61.6,59.6,64.0,64.2,65.6,66.2,67.1
