Năm,"Tỉnh, thành phố",1,2,3,4,5,6,7,8,9,10,11,12
2010,,86.0,86.0,82.0,89.0,86.0,83.0,81.0,87.0,86.0,73.0,71.0,78.0
2010,geoId-NDH,89.0,85.0,83.0,90.0,85.0,78.0,80.0,87.0,85.0,77.0,76.0,81.0
2010,,89.0,86.0,83.0,88.0,78.0,67.0,72.0,84.0,82.0,85.0,83.0,83.0
2010,,93.0,90.0,89.0,87.0,79.0,78.0,79.0,88.0,86.0,92.0,93.0,92.0
2010,geoId-DNG,84.0,85.0,83.0,83.0,77.0,77.0,77.0,82.0,83.0,85.0,88.0,84.0
2010,,,,,,,,,,,,,
2010,,76.0,76.0,72.0,81.0,85.0,89.0,91.0,90.0,92.0,87.0,78.0,79.0
2010,,81.0,80.0,80.0,84.0,88.0,87.0,90.0,91.0,92.0,89.0,84.0,84.0
2010,,78.0,78.0,78.0,78.0,75.0,77.0,80.0,79.0,81.0,82.0,85.0,79.0
2010,,74.0,74.0,71.0,79.0,84.0,88.0,91.0,90.0,92.0,86.0,77.0,77.0
2010,geoId-CMU,78.0,78.0,78.0,82.0,87.0,85.0,89.0,90.0,91.0,87.0,83.0,81.0
2010,geoId-HNI,81.0,80.0,78.0,85.0,81.0,74.0,74.0,82.0,79.0,70.0,71.0,77.0
2010,,83.0,84.0,82.0,81.0,79.0,79.0,76.0,75.0,78.0,82.0,89.0,81.0
2011,geoId-LCU,78.0,99.0,75.0,78.0,81.0,88.0,84.0,83.0,83.0,79.0,83.0,77.0
2011,geoId-SLA,84.0,80.0,80.0,80.0,79.0,85.0,84.0,83.0,82.0,80.0,82.0,75.0
2011,geoId-TQG,79.0,83.0,83.0,84.0,81.0,82.0,82.0,83.0,84.0,83.0,84.0,75.0
2011,,,,,,,,,,,,,
2011,,75.0,87.0,85.0,85.0,82.0,86.0,86.0,86.0,82.0,80.0,80.0,71.0
2011,geoId-NDH,75.0,86.0,85.0,84.0,81.0,80.0,79.0,82.0,85.0,84.0,80.0,72.0
2011,,87.0,88.0,89.0,86.0,79.0,70.0,74.0,80.0,85.0,88.0,86.0,84.0
2011,,95.0,91.0,92.0,88.0,84.0,79.0,76.0,81.0,89.0,92.0,91.0,96.0
2011,geoId-DNG,83.0,81.0,81.0,82.0,77.0,74.0,70.0,75.0,87.0,86.0,85.0,88.0
2011,,,,,,,,,,,,,
2011,,75.0,76.0,72.0,71.0,83.0,91.0,91.0,90.0,94.0,88.0,81.0,75.0
