"Tỉnh, thành phố",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2022
geoId-TNH,3980.0,4528.0,4818.0,5904.0,7356.0,5670.0,6327.0,6451.7,7520.0,7697.0,7901.3,9299.1,9634.9,10155.8,11510.0,11952.8,12548.4,13381.9,14557.0,15757.0,15217.8,14581.93,16716.86
geoId-VLG,2190.0,2348.0,2558.0,2662.0,2718.0,3022.0,3310.0,3520.0,3956.0,4712.0,4926.2,5461.4,5132.8,5171.3,5321.8,5251.1,5283.6,5572.3,5913.2,6380.0,4974.8,3514.0,5106.0
geoId-VPC,2043.0,2409.0,3165.0,4379.5,5515.0,6335.0,7418.8,10263.0,10877.3,13364.0,14983.4,16241.8,17287.0,20250.6,20305.9,21203.2,21504.9,23566.7,28913.4,30755.3,27694.7,20773.12,29458.48
geoId-YBI,1356.0,1601.0,2020.0,2332.0,3081.0,3516.0,3890.0,4119.0,4368.0,4494.0,5199.7,6383.0,7243.0,7402.2,7978.0,8302.1,9133.2,9816.6,10932.9,11211.7,10671.7,8060.8,10415.3
geoId-DBN,540.0,775.0,607.0,613.0,679.9,753.2,821.0,709.4,736.0,818.5,908.5,1099.8,1195.5,1294.3,1335.9,1438.8,1526.0,1544.3,1896.4,2033.7,2086.8,2350.12,3011.01
geoId-DNG,4936.89,5565.0,7377.0,10583.4,14582.9,14914.0,15688.3,15018.0,16161.5,17666.0,19190.6,22156.9,25077.0,25391.3,27045.0,27718.1,28827.8,33122.0,33988.2,35569.2,31024.1,30448.57,32198.97
geoId-ST,38287.76,42768.83,46761.0,60780.0,69338.0,71007.0,83130.4,103796.9,113913.7,120357.3,135348.5,150399.3,167603.2,175193.9,190255.7,205016.7,223470.6,246360.8,278140.4,303422.6,285357.6,286732.85,358823.28
geoId-DLK,1695.0,1877.0,1880.0,1990.0,2034.0,2378.0,2910.0,3728.6,4507.0,4988.0,6925.0,8885.2,10004.9,11225.5,11758.6,12358.0,13087.8,13750.9,15313.2,16566.8,17927.0,18797.21,20844.02
geoId-DNG1,,,,367.0,373.0,399.0,431.0,461.0,530.2,609.7,652.4,774.4,800.7,860.0,885.8,1045.2,1144.3,1235.8,1568.0,1663.8,1777.2,1451.96,2332.25
geoId-MRD,28997.67,31803.29,39092.3,42410.2,46817.0,59328.2,64314.8,64751.2,72971.7,79734.1,86921.7,88158.2,97418.7,102924.4,105913.5,114470.5,122865.6,131526.1,139027.2,151201.1,147095.1,135586.01,169250.43
geoId-RRD,59641.21,69463.44,82945.67,100967.6,119965.9,137567.3,153655.3,191553.8,207117.6,231234.0,265370.8,293477.9,322918.0,338266.9,364389.5,396258.9,434824.0,475181.7,523664.3,581448.8,585206.1,588472.48,737649.77
geoId-DNI,9401.0,10770.0,12397.0,14233.0,17198.0,18482.0,22198.6,25261.8,26406.0,28643.0,30687.7,33245.4,37806.8,40301.0,42854.5,45104.8,47642.9,50310.2,53387.6,48192.3,45794.0,41527.79,52534.73
geoId-DTP,1924.0,1945.0,1987.0,2031.0,2233.0,2428.0,2576.0,3341.0,2836.0,2944.0,3019.9,3278.7,3358.8,4241.0,4143.3,4300.9,4676.6,4961.6,5525.5,6493.1,6679.9,7234.0,9309.0
