"Tỉnh, thành phố",Năm,Tổng số,Đúng hạn,Quá hạn
geoId-ST,2018,75070,63694,11376
geoId-ST,2019,72180,62231,9949
geoId-ST,2020,74628,65064,9564
geoId-ST,2021,105093,80221,24872
geoId-ST,2022,88851,73335,15516
geoId-DLK,2018,9643,5376,4267
geoId-DLK,2019,9632,5895,3737
geoId-DLK,2020,9952,6172,3780
geoId-DLK,2021,10097,6557,3540
geoId-DLK,2022,11719,7305,4414
geoId-DNG1,2018,2538,1330,1208
geoId-DNG1,2019,2346,1408,938
geoId-DNG1,2020,2505,1608,897
geoId-DNG1,2021,2441,1526,915
geoId-DNG1,2022,3055,1797,1258
geoId-MRD,2018,133260,87853,45407
geoId-MRD,2019,127405,89763,37642
geoId-MRD,2020,137489,96053,41436
geoId-MRD,2021,139953,91590,48363
geoId-MRD,2022,173308,114124,59184
geoId-RRD,2018,120184,104087,16097
geoId-RRD,2019,118676,103977,14699
geoId-RRD,2020,126626,110247,16379
geoId-RRD,2021,129148,113345,15803
geoId-RRD,2022,153413,133018,20395
geoId-DNI,2018,12966,11352,1614
geoId-DNI,2019,11284,9687,1597
geoId-DNI,2020,13219,11357,1862
geoId-DNI,2021,15503,12754,2749
geoId-DNI,2022,16700,13999,2701
geoId-DTP,2018,13089,8664,4425
geoId-DTP,2019,13294,9131,4163
geoId-DTP,2020,13810,9576,4234
geoId-DTP,2021,14555,8955,5600
geoId-DTP,2022,18327,11702,6625
