"Tỉnh, thành phố",Năm,Tổng số,Cấp tỉnh,Cấp huyện
geoId-NAN,2015,360,44,316
geoId-NAN,2016,451,65,386
geoId-NAN,2017,569,75,494
geoId-NAN,2018,693,108,585
geoId-NAN,2019,756,67,689
geoId-NAN,2020,883,97,786
geoId-NAN,2021,1022,172,850
geoId-NAN,2022,1091,239,852
geoId-NBH,2013,55,,55
geoId-NBH,2014,87,,87
geoId-NBH,2015,107,2,105
geoId-NBH,2016,122,2,120
geoId-NBH,2017,150,4,146
geoId-NBH,2018,157,2,155
geoId-NBH,2019,141,3,138
geoId-NBH,2020,123,0,123
geoId-NBH,2021,98,0,98
geoId-NBH,2022,126,5,121
geoId-NTN,2013,104,1,103
geoId-NTN,2014,100,,100
geoId-NTN,2015,145,5,140
geoId-NTN,2016,178,4,174
geoId-NTN,2017,210,3,207
geoId-NTN,2018,252,5,247
geoId-NTN,2019,278,9,269
geoId-NTN,2020,237,2,235
geoId-NTN,2021,221,1,220
geoId-NTN,2022,324,7,317
geoId-PTO,2013,310,5,305
geoId-PTO,2014,329,12,317
geoId-PTO,2015,351,9,342
geoId-PTO,2016,440,22,418
geoId-PTO,2017,487,5,482
geoId-PTO,2018,509,20,489
geoId-PTO,2019,343,12,331
geoId-PTO,2020,264,65,199
geoId-PTO,2021,335,72,263
geoId-PTO,2022,320,12,308
geoId-PYN,2013,213,13,200
geoId-PYN,2014,229,16,213
geoId-PYN,2015,259,14,245
geoId-PYN,2016,233,18,215
geoId-PYN,2017,260,6,254
geoId-PYN,2018,237,9,228
geoId-PYN,2019,270,11,259
geoId-PYN,2020,311,8,303
geoId-PYN,2021,307,14,293
geoId-PYN,2022,507,19,488
geoId-QBH,2013,137,8,129
geoId-QBH,2014,126,10,116
geoId-QBH,2015,158,11,147
geoId-QBH,2016,168,10,158
geoId-QBH,2017,222,13,209
geoId-QBH,2018,265,43,222
geoId-QBH,2019,300,36,264
geoId-QBH,2020,270,49,221
geoId-QBH,2021,243,47,196
geoId-QBH,2022,360,73,287
geoId-QNM,2013,175,8,167
geoId-QNM,2014,212,2,210
geoId-QNM,2015,233,1,232
geoId-QNM,2016,272,2,270
geoId-QNM,2017,275,5,270
geoId-QNM,2018,316,2,314
geoId-QNM,2019,290,9,281
geoId-QNM,2020,254,0,254
geoId-QNM,2021,372,0,372
geoId-QNM,2022,304,0,304
geoId-QNI,2013,187,,187
geoId-QNI,2014,157,,157
geoId-QNI,2015,203,0,203
geoId-QNI,2016,206,0,206
geoId-QNI,2017,215,2,213
geoId-QNI,2018,225,5,220
geoId-QNI,2019,226,7,219
geoId-QNI,2020,287,4,283
geoId-QNI,2021,388,14,374
geoId-QNI,2022,240,7,233
geoId-QNH,2013,164,19,145
geoId-QNH,2014,192,20,172
geoId-QNH,2015,284,15,269
geoId-QNH,2016,333,27,306
geoId-QNH,2017,350,16,334
geoId-QNH,2018,419,17,402
geoId-QNH,2019,397,36,361
geoId-QNH,2020,381,12,369
geoId-QNH,2021,411,34,377
geoId-QNH,2022,425,63,362
geoId-QTI,2013,56,,56
geoId-QTI,2014,43,1,42
geoId-QTI,2015,62,3,59
geoId-QTI,2016,61,0,61
geoId-QTI,2017,67,1,66
geoId-QTI,2018,79,5,74
geoId-QTI,2019,71,18,53
geoId-QTI,2020,73,11,62
geoId-QTI,2021,143,30,113
geoId-QTI,2022,156,43,113
geoId-STG,2013,260,26,234
geoId-STG,2014,298,39,259
geoId-STG,2015,385,41,344
geoId-STG,2016,348,38,310
geoId-STG,2017,419,14,405
geoId-STG,2018,481,22,459
geoId-STG,2019,438,38,400
geoId-STG,2020,520,39,481
geoId-STG,2021,413,29,384
geoId-STG,2022,582,38,544
geoId-SLA,2013,106,,106
geoId-SLA,2014,91,1,90
geoId-SLA,2015,104,0,104
geoId-SLA,2016,83,0,83
geoId-SLA,2017,91,1,90
geoId-SLA,2018,118,,118
geoId-SLA,2019,130,1,129
geoId-SLA,2020,102,0,102
geoId-SLA,2021,125,0,125
geoId-SLA,2022,212,1,211
geoId-THA,2013,460,,460
geoId-THA,2014,423,,423
geoId-THA,2015,437,2,435
geoId-THA,2016,584,2,582
geoId-THA,2017,685,4,681
geoId-THA,2018,697,2,695
geoId-THA,2019,740,3,737
geoId-THA,2020,880,1,879
geoId-THA,2021,915,11,904
geoId-THA,2022,1124,113,1011
geoId-TBH,2013,443,33,410
geoId-TBH,2014,371,37,334
geoId-TBH,2015,463,46,417
geoId-TBH,2016,469,44,425
geoId-TBH,2017,573,55,518
geoId-TBH,2018,579,60,519
geoId-TBH,2019,446,55,391
geoId-TBH,2020,255,55,200
geoId-TBH,2021,240,73,167
geoId-TBH,2022,322,107,215
geoId-TNN,2013,220,14,206
geoId-TNN,2014,271,10,261
geoId-TNN,2015,239,16,223
geoId-TNN,2016,314,22,292
geoId-TNN,2017,318,23,295
geoId-TNN,2018,296,8,288
geoId-TNN,2019,388,18,370
geoId-TNN,2020,241,9,232
geoId-TNN,2021,241,21,220
geoId-TNN,2022,230,57,173
geoId-TTH,2013,160,44,116
geoId-TTH,2014,154,62,92
geoId-TTH,2015,177,43,134
geoId-TTH,2016,210,46,164
geoId-TTH,2017,199,34,165
geoId-TTH,2018,261,48,213
geoId-TTH,2019,255,22,233
geoId-TTH,2020,175,20,155
geoId-TTH,2021,182,15,167
geoId-TTH,2022,251,43,208
geoId-TGG,2013,828,16,812
geoId-TGG,2014,864,12,852
geoId-TGG,2015,1146,7,1139
geoId-TGG,2016,1140,13,1127
geoId-TGG,2017,1251,15,1236
geoId-TGG,2018,1301,26,1275
geoId-TGG,2019,1290,25,1265
geoId-TGG,2020,1154,37,1117
geoId-TGG,2021,916,18,898
geoId-TGG,2022,1271,29,1242
geoId-HCM,2013,1594,368,1226
geoId-HCM,2014,1964,339,1625
geoId-HCM,2015,2245,307,1938
geoId-HCM,2016,2125,326,1799
geoId-HCM,2017,2520,320,2200
geoId-HCM,2018,1940,412,1528
geoId-HCM,2019,1716,388,1328
geoId-HCM,2020,1139,380,759
geoId-HCM,2021,782,265,517
geoId-HCM,2022,1656,266,1390
geoId-NT,2013,1656,47,1609
geoId-NT,2014,1761,52,1709
geoId-NT,2015,2057,49,2008
geoId-NT,2016,2127,72,2055
geoId-NT,2017,2453,54,2399
geoId-NT,2018,2712,81,2631
geoId-NT,2019,2694,129,2565
geoId-NT,2020,2305,159,2146
geoId-NT,2021,2583,177,2406
geoId-NT,2022,2954,256,2698
geoId-TVH,2013,220,27,193
geoId-TVH,2014,299,48,251
geoId-TVH,2015,322,39,283
geoId-TVH,2016,345,33,312
geoId-TVH,2017,474,49,425
geoId-TVH,2018,344,25,319
geoId-TVH,2019,275,42,233
geoId-TVH,2020,301,32,269
geoId-TVH,2021,292,19,273
geoId-TVH,2022,432,32,400
geoId-TQG,2013,83,2,81
geoId-TQG,2014,89,3,86
geoId-TQG,2015,128,1,127
geoId-TQG,2016,125,0,125
geoId-TQG,2017,146,,146
geoId-TQG,2018,181,2,179
geoId-TQG,2019,216,2,214
geoId-TQG,2020,380,2,378
geoId-TQG,2021,338,1,337
geoId-TQG,2022,258,9,249
geoId-TNN,2013,802,15,787
geoId-TNN,2014,908,19,889
geoId-TNN,2015,1129,28,1101
geoId-TNN,2016,1081,10,1071
geoId-TNN,2017,1187,31,1156
geoId-TNN,2018,1213,24,1189
geoId-TNN,2019,1115,15,1100
geoId-TNN,2020,984,21,963
geoId-TNN,2021,1350,37,1313
geoId-TNN,2022,1828,51,1777
geoId-TNH,2013,494,31,463
geoId-TNH,2014,509,15,494
geoId-TNH,2015,721,19,702
geoId-TNH,2016,648,53,595
geoId-TNH,2017,645,57,588
geoId-TNH,2018,892,108,784
geoId-TNH,2019,708,28,680
geoId-TNH,2020,639,19,620
geoId-TNH,2021,437,67,370
geoId-TNH,2022,661,57,604
geoId-VLG,2013,508,81,427
geoId-VLG,2014,478,56,422
geoId-VLG,2015,529,54,475
geoId-VLG,2016,694,76,618
geoId-VLG,2017,729,74,655
geoId-VLG,2018,743,78,665
geoId-VLG,2019,319,42,277
geoId-VLG,2020,381,54,327
geoId-VLG,2021,464,53,411
geoId-VLG,2022,462,52,410
geoId-VPC,2013,295,6,289
geoId-VPC,2014,274,7,267
geoId-VPC,2015,253,4,249
geoId-VPC,2016,274,2,272
geoId-VPC,2017,257,5,252
geoId-VPC,2018,273,4,269
geoId-VPC,2019,267,7,260
geoId-VPC,2020,175,7,168
geoId-VPC,2021,210,19,191
geoId-VPC,2022,288,19,269
geoId-YBI,2013,173,1,172
geoId-YBI,2014,154,1,153
geoId-YBI,2015,198,4,194
geoId-YBI,2016,206,1,205
geoId-YBI,2017,239,,239
geoId-YBI,2018,325,1,324
geoId-YBI,2019,296,1,295
geoId-YBI,2020,218,1,217
geoId-YBI,2021,274,4,270
geoId-YBI,2022,292,4,288
geoId-DBN,2013,46,,46
geoId-DBN,2014,56,,56
geoId-DBN,2015,83,0,83
geoId-DBN,2016,61,0,61
geoId-DBN,2017,72,,72
geoId-DBN,2018,102,,102
geoId-DBN,2019,94,,94
geoId-DBN,2020,97,0,97
geoId-DBN,2021,127,1,126
geoId-DBN,2022,157,0,157
geoId-DNG,2013,279,66,213
geoId-DNG,2014,269,36,233
geoId-DNG,2015,300,38,262
geoId-DNG,2016,349,19,330
geoId-DNG,2017,373,13,360
geoId-DNG,2018,226,4,222
geoId-DNG,2019,314,38,276
geoId-DNG,2020,208,28,180
geoId-DNG,2021,148,43,105
geoId-DNG,2022,169,18,151
geoId-ST,2013,3614,480,3134
geoId-ST,2014,4304,490,3814
geoId-ST,2015,5286,456,4830
geoId-ST,2016,5132,549,4583
geoId-ST,2017,5686,501,5185
geoId-ST,2018,5338,646,4692
geoId-ST,2019,4606,497,4109
geoId-ST,2020,3848,523,3325
geoId-ST,2021,2965,403,2562
geoId-ST,2022,4693,466,4227
geoId-DLK,2013,266,4,262
geoId-DLK,2014,258,2,256
geoId-DLK,2015,316,5,311
geoId-DLK,2016,332,4,328
geoId-DLK,2017,353,4,349
geoId-DLK,2018,363,4,359
geoId-DLK,2019,403,6,397
geoId-DLK,2020,326,5,321
geoId-DLK,2021,393,6,387
geoId-DLK,2022,634,13,621
geoId-DNG1,2013,49,,49
geoId-DNG1,2014,57,,57
geoId-DNG1,2015,77,0,77
geoId-DNG1,2016,79,0,79
geoId-DNG1,2017,67,,67
geoId-DNG1,2018,133,,133
geoId-DNG1,2019,124,1,123
geoId-DNG1,2020,87,0,87
geoId-DNG1,2021,153,4,149
geoId-DNG1,2022,195,1,194
geoId-MRD,2013,5729,348,5381
geoId-MRD,2014,6030,350,5680
geoId-MRD,2015,8348,391,7957
geoId-MRD,2016,7793,479,7314
geoId-MRD,2017,8830,553,8277
geoId-MRD,2018,9314,531,8783
geoId-MRD,2019,8033,577,7456
geoId-MRD,2020,7375,448,6927
geoId-MRD,2021,6548,518,6030
geoId-MRD,2022,9233,484,8749
geoId-RRD,2013,3475,372,3103
geoId-RRD,2014,3707,395,3312
geoId-RRD,2015,3686,287,3399
geoId-RRD,2016,4058,311,3747
geoId-RRD,2017,4951,374,4577
geoId-RRD,2018,4796,332,4464
geoId-RRD,2019,4661,628,4033
geoId-RRD,2020,3706,432,3274
geoId-RRD,2021,4110,718,3392
geoId-RRD,2022,4800,823,3977
geoId-DNI,2013,666,34,632
geoId-DNI,2014,770,63,707
geoId-DNI,2015,1037,75,962
geoId-DNI,2016,1124,130,994
geoId-DNI,2017,1170,58,1112
geoId-DNI,2018,1068,80,988
geoId-DNI,2019,949,39,910
geoId-DNI,2020,968,62,906
geoId-DNI,2021,771,33,738
geoId-DNI,2022,1093,93,1000
geoId-DTP,2013,296,3,293
geoId-DTP,2014,341,1,340
geoId-DTP,2015,494,3,491
geoId-DTP,2016,412,1,411
geoId-DTP,2017,485,25,460
geoId-DTP,2018,501,13,488
geoId-DTP,2019,356,1,355
geoId-DTP,2020,386,0,386
geoId-DTP,2021,437,0,437
geoId-DTP,2022,532,0,532
